    | Name                                 | Type                 | Params
108 | classifier.mnet.features.9.conv.1.2  | ReLU6                | 0
109 | classifier.mnet.features.9.conv.2    | Conv2d               | 24.6 K
110 | classifier.mnet.features.9.conv.3    | BatchNorm2d          | 128
111 | classifier.mnet.features.10          | InvertedResidual     | 54.3 K
112 | classifier.mnet.features.10.conv     | Sequential           | 54.3 K
113 | classifier.mnet.features.10.conv.0   | Conv2dNormActivation | 25.3 K
114 | classifier.mnet.features.10.conv.0.0 | Conv2d               | 24.6 K
115 | classifier.mnet.features.10.conv.0.1 | BatchNorm2d          | 768
116 | classifier.mnet.features.10.conv.0.2 | ReLU6                | 0
117 | classifier.mnet.features.10.conv.1   | Conv2dNormActivation | 4.2 K
118 | classifier.mnet.features.10.conv.1.0 | Conv2d               | 3.5 K
119 | classifier.mnet.features.10.conv.1.1 | BatchNorm2d          | 768
120 | classifier.mnet.features.10.conv.1.2 | ReLU6                | 0
121 | classifier.mnet.features.10.conv.2   | Conv2d               | 24.6 K
122 | classifier.mnet.features.10.conv.3   | BatchNorm2d          | 128
123 | classifier.mnet.features.11          | InvertedResidual     | 66.6 K
124 | classifier.mnet.features.11.conv     | Sequential           | 66.6 K
125 | classifier.mnet.features.11.conv.0   | Conv2dNormActivation | 25.3 K
126 | classifier.mnet.features.11.conv.0.0 | Conv2d               | 24.6 K
127 | classifier.mnet.features.11.conv.0.1 | BatchNorm2d          | 768
128 | classifier.mnet.features.11.conv.0.2 | ReLU6                | 0
129 | classifier.mnet.features.11.conv.1   | Conv2dNormActivation | 4.2 K
130 | classifier.mnet.features.11.conv.1.0 | Conv2d               | 3.5 K
131 | classifier.mnet.features.11.conv.1.1 | BatchNorm2d          | 768
132 | classifier.mnet.features.11.conv.1.2 | ReLU6                | 0
133 | classifier.mnet.features.11.conv.2   | Conv2d               | 36.9 K
134 | classifier.mnet.features.11.conv.3   | BatchNorm2d          | 192
135 | classifier.mnet.features.12          | InvertedResidual     | 118 K
136 | classifier.mnet.features.12.conv     | Sequential           | 118 K
137 | classifier.mnet.features.12.conv.0   | Conv2dNormActivation | 56.4 K
138 | classifier.mnet.features.12.conv.0.0 | Conv2d               | 55.3 K
139 | classifier.mnet.features.12.conv.0.1 | BatchNorm2d          | 1.2 K
140 | classifier.mnet.features.12.conv.0.2 | ReLU6                | 0
141 | classifier.mnet.features.12.conv.1   | Conv2dNormActivation | 6.3 K
142 | classifier.mnet.features.12.conv.1.0 | Conv2d               | 5.2 K
143 | classifier.mnet.features.12.conv.1.1 | BatchNorm2d          | 1.2 K
144 | classifier.mnet.features.12.conv.1.2 | ReLU6                | 0
145 | classifier.mnet.features.12.conv.2   | Conv2d               | 55.3 K
146 | classifier.mnet.features.12.conv.3   | BatchNorm2d          | 192
147 | classifier.mnet.features.13          | InvertedResidual     | 118 K
148 | classifier.mnet.features.13.conv     | Sequential           | 118 K
149 | classifier.mnet.features.13.conv.0   | Conv2dNormActivation | 56.4 K
150 | classifier.mnet.features.13.conv.0.0 | Conv2d               | 55.3 K
151 | classifier.mnet.features.13.conv.0.1 | BatchNorm2d          | 1.2 K
152 | classifier.mnet.features.13.conv.0.2 | ReLU6                | 0
153 | classifier.mnet.features.13.conv.1   | Conv2dNormActivation | 6.3 K
154 | classifier.mnet.features.13.conv.1.0 | Conv2d               | 5.2 K
155 | classifier.mnet.features.13.conv.1.1 | BatchNorm2d          | 1.2 K
156 | classifier.mnet.features.13.conv.1.2 | ReLU6                | 0
157 | classifier.mnet.features.13.conv.2   | Conv2d               | 55.3 K
158 | classifier.mnet.features.13.conv.3   | BatchNorm2d          | 192
159 | classifier.mnet.features.14          | InvertedResidual     | 155 K
160 | classifier.mnet.features.14.conv     | Sequential           | 155 K
161 | classifier.mnet.features.14.conv.0   | Conv2dNormActivation | 56.4 K
162 | classifier.mnet.features.14.conv.0.0 | Conv2d               | 55.3 K
163 | classifier.mnet.features.14.conv.0.1 | BatchNorm2d          | 1.2 K
164 | classifier.mnet.features.14.conv.0.2 | ReLU6                | 0
165 | classifier.mnet.features.14.conv.1   | Conv2dNormActivation | 6.3 K
166 | classifier.mnet.features.14.conv.1.0 | Conv2d               | 5.2 K
167 | classifier.mnet.features.14.conv.1.1 | BatchNorm2d          | 1.2 K
168 | classifier.mnet.features.14.conv.1.2 | ReLU6                | 0
169 | classifier.mnet.features.14.conv.2   | Conv2d               | 92.2 K
170 | classifier.mnet.features.14.conv.3   | BatchNorm2d          | 320
171 | classifier.mnet.features.15          | InvertedResidual     | 320 K
172 | classifier.mnet.features.15.conv     | Sequential           | 320 K
173 | classifier.mnet.features.15.conv.0   | Conv2dNormActivation | 155 K
174 | classifier.mnet.features.15.conv.0.0 | Conv2d               | 153 K
175 | classifier.mnet.features.15.conv.0.1 | BatchNorm2d          | 1.9 K
176 | classifier.mnet.features.15.conv.0.2 | ReLU6                | 0
177 | classifier.mnet.features.15.conv.1   | Conv2dNormActivation | 10.6 K
178 | classifier.mnet.features.15.conv.1.0 | Conv2d               | 8.6 K
179 | classifier.mnet.features.15.conv.1.1 | BatchNorm2d          | 1.9 K
180 | classifier.mnet.features.15.conv.1.2 | ReLU6                | 0
181 | classifier.mnet.features.15.conv.2   | Conv2d               | 153 K
182 | classifier.mnet.features.15.conv.3   | BatchNorm2d          | 320
183 | classifier.mnet.features.16          | InvertedResidual     | 320 K
184 | classifier.mnet.features.16.conv     | Sequential           | 320 K
185 | classifier.mnet.features.16.conv.0   | Conv2dNormActivation | 155 K
186 | classifier.mnet.features.16.conv.0.0 | Conv2d               | 153 K
187 | classifier.mnet.features.16.conv.0.1 | BatchNorm2d          | 1.9 K
188 | classifier.mnet.features.16.conv.0.2 | ReLU6                | 0
189 | classifier.mnet.features.16.conv.1   | Conv2dNormActivation | 10.6 K
190 | classifier.mnet.features.16.conv.1.0 | Conv2d               | 8.6 K
191 | classifier.mnet.features.16.conv.1.1 | BatchNorm2d          | 1.9 K
192 | classifier.mnet.features.16.conv.1.2 | ReLU6                | 0
193 | classifier.mnet.features.16.conv.2   | Conv2d               | 153 K
194 | classifier.mnet.features.16.conv.3   | BatchNorm2d          | 320
195 | classifier.mnet.features.17          | InvertedResidual     | 473 K
196 | classifier.mnet.features.17.conv     | Sequential           | 473 K
197 | classifier.mnet.features.17.conv.0   | Conv2dNormActivation | 155 K
198 | classifier.mnet.features.17.conv.0.0 | Conv2d               | 153 K
199 | classifier.mnet.features.17.conv.0.1 | BatchNorm2d          | 1.9 K
200 | classifier.mnet.features.17.conv.0.2 | ReLU6                | 0
201 | classifier.mnet.features.17.conv.1   | Conv2dNormActivation | 10.6 K
202 | classifier.mnet.features.17.conv.1.0 | Conv2d               | 8.6 K
203 | classifier.mnet.features.17.conv.1.1 | BatchNorm2d          | 1.9 K
